0: 본 방송과 방송에 사용된 미리듣기 음악은 벅스에서
16:  그룹 후는 자신들의 노래 마이제너레이션 해서 힘들기 전에 우리 세대가 가기전에 빨리 죽자 이렇게 노래를 냈습니다
27:  늙는 거 나이 먹는 거 좋아하는 사람 뭐 그렇게 많지는 않을 것 같아요 물론 주민등록증 나오기 전에 9시 걔는 빨리 한 번이라도 더 먹어야지
41:  이거 빨리 한두 살 더 먹어서 영업소를 떳떳하게 출입 해야겠다 이렇게 생각할 수도 있겠지만요
50:  그런 사람이 늙어서 허리가 부부 정해지거나 아니면은 근무 오는 3월 뭘로 못 만난다고 그런가 오늘은 주름 못 먹는다 주름 잘 생기고 뭐 이러는데
66:  주름살 생긴 사람이 예쁠 수도 있다라는 것은 코멘트 생각을 해 봤어요 사람이 주름살 생기면 추하지만 난 그렇게 되면 그냥 먼저 자살 할지 몰라 입방정 떨고
80:  공원 벤치 나 이런데서 노부부가 손을 잡고서 서로 주름진 손을 쓰다듬어 주고 있는 걸 보면
92:  전화해도 되면 나도 저게 저런 느낌이 들 것인가 지금같으면 이렇게 쓱 잡았다가 탱탱한 옛날에 그 영숙이가 아니고 주름 됐잖아 뺀 다음에 모른척 모른척 이럴지도 모르겠다라고 생각을 했었는데
111:  영화 아일랜드라는 1층 거기 보면은 여기 나오는 인간들은 무슨 소리냐면 영원히 사는 종류 죽을 수가 없는 애들인데 지들끼리 또 찾아내서 싸움을 합니다 모기 자려면 주기 때문에 총 같은 거 소용없고 칼로 사야 되는데이 주인공 아일랜드가 몇백년전 스코틀랜드에 살 때 그때 와이프가 한 명 있었어요
139:  그 여자를 위해서 산소개장 답게 살자 그리고 둘이 그 스코틀랜드의 그림같은 배경 속에서 한 평생 삽니다 문제는 요정 한평생 살았는데 남자는간에 기별도 안 간 거지 전혀 안 먹는 거죠
159:  그래서 여자가 늙어서 죽을 때가 되니까
164:  침대 머리맡에 앉아서
168:  자신의 한 평생을 같이 지낸 아내를 쳐다보는데
173:  자기 제 얼굴 주름 줘서 밉다고 보지 말라고 그래요
179:  근데 그 할머니인 겉모습에 안에 와
183:  젊은 남편 있는 그 장면에서 왠지 모르게 뭉클뭉클 했었어요
190:  완전히 주름살 이진 파파 할머니가 된 그 자기 여자를 쳐다보는
196:  눈빛이란게 있잖아요 너무 너무 사랑스럽고 아직도 예쁜 그 표정으로 할머니가 되니 아니 널 바라보고 있더라고요
208:  이승우 10대 시절에 사랑 20L짜리 사람보다 괜찮고 그리고 40대 사람이라면 우리 왠지 모르게 불륜 같은 단어를 떠올리지만
219:  50 60 모르겠네요 그쪽은 아직 안 살아 봤어
223:  10대들의 가슴은 두근 두근 하단 첫사랑 같은 느낌은 평생 다시 받을 수 없는 거 같아요 20대가 와서 정말 진짜 내 사랑을 찾으면 떨리던 느낌이 다시 나타날 것인가라고 생각해보았지만
240:  밤새도록 별로 못 친한 사이도 아닌데 미팅에서 한번 문의해보고 심장이 콩닥콩닥 뛰다 그 느낌은 다시 돌아오지 않더군요
249:  근데 그 느낌이 줄어들어서 초라해진 것은 아니고 두근두근과 그 콩닥거리는 줄어든 자리에는 또 다른 재밌는 요소들이 많이 쌓아 이더라고요
262:  그리고 이제는 조금 더 느긋하게 편안하게
269:  아 그래도 예전보다는 실수도 좀 들으라고 상대 마음도 덜 아프게 하고 그럴 수도 있을 것 같은데 그렇게 해서 만일
281:  30년 40년 50년 60년 이렇게 같이 지낸다면
287:  그렇다면 저도 그 주름진 손을 쓰다듬고 검버섯이 핀 얼굴에 뽀뽀도 하고 그럴 수 있겠죠
304:  만일 두 사람이
310:  아일랜드란 영화에서처럼 영상이라서 둘이서 앞으로 최소한 50조 면을 같이 지내야 된다라고 생각하면 지금 같이 있는 시간 다니는게 없어질 되고 그리고 긴장감도 잘 아실 테고
328:  둘이 있는 시간이 소중히 시간 겠죠 그렇다고 1년 2년 너무 슬프고
334:  한 평생 정도에 길이 어려운 거 괜찮아요 그리고 나서
342:  누가 영생을 바라겠어요
345:  오래 살아서 영원히 살아서 자기 사랑하는 사람들 다 떠나 보내고 혼자 남아서 그죠
354:  꽃이라는게 1년 사시사철 피어 있으면 진짜 매력 챙겼어요 봄에는 피고 가을에는 적어 줘야 되는데 이게 엄동설한에 눈이 오더니 떡꼬치 안녕하세요 저 아직도 피어있어요 방실방실 묻는다면 닭살이 겠죠
373:  그렇다고요 말고 그냥 주저리 주저리 떠든 거지 내용 없다고요
380:  우리나라 치마
385:  픽셀카 One Way 들어갔습니다
